Num of Spin	Win Tier 0 FsType1 fsEntries	Win Tier 1 FsType1 fsEntries	Win Tier 2 FsType1 fsEntries	Win Tier 3 FsType1 fsEntries	Win Tier 4 FsType1 fsEntries	Win Tier 5 FsType1 fsEntries	Win Tier 6 FsType1 fsEntries	Win Tier 7 FsType1 fsEntries	Win Tier 8 FsType1 fsEntries	Win Tier 9 FsType1 fsEntries	Win Tier 10 FsType1 fsEntries	Win Tier 11 FsType1 fsEntries	Win Tier 12 FsType1 fsEntries	Win Tier 13 FsType1 fsEntries	Win Tier 14 FsType1 fsEntries	Win Tier 15 FsType1 fsEntries	Win Tier 16 FsType1 fsEntries	Win Tier 17 FsType1 fsEntries	Win Tier 18 FsType1 fsEntries	Win Tier 19 FsType1 fsEntries	Win Tier 20 FsType1 fsEntries	Win Tier 21 FsType1 fsEntries	Win Tier 22 FsType1 fsEntries	Win Tier 23 FsType1 fsEntries	Win Tier 24 FsType1 fsEntries	Win Tier 25 FsType1 fsEntries	Win Tier 0 FsType1 FreeSpins#	Win Tier 1 FsType1 FreeSpins#	Win Tier 2 FsType1 FreeSpins#	Win Tier 3 FsType1 FreeSpins#	Win Tier 4 FsType1 FreeSpins#	Win Tier 5 FsType1 FreeSpins#	Win Tier 6 FsType1 FreeSpins#	Win Tier 7 FsType1 FreeSpins#	Win Tier 8 FsType1 FreeSpins#	Win Tier 9 FsType1 FreeSpins#	Win Tier 10 FsType1 FreeSpins#	Win Tier 11 FsType1 FreeSpins#	Win Tier 12 FsType1 FreeSpins#	Win Tier 13 FsType1 FreeSpins#	Win Tier 14 FsType1 FreeSpins#	Win Tier 15 FsType1 FreeSpins#	Win Tier 16 FsType1 FreeSpins#	Win Tier 17 FsType1 FreeSpins#	Win Tier 18 FsType1 FreeSpins#	Win Tier 19 FsType1 FreeSpins#	Win Tier 20 FsType1 FreeSpins#	Win Tier 21 FsType1 FreeSpins#	Win Tier 22 FsType1 FreeSpins#	Win Tier 23 FsType1 FreeSpins#	Win Tier 24 FsType1 FreeSpins#	Win Tier 25 FsType1 FreeSpins#	Win Tier 0 FsType1 Hits#	Win Tier 1 FsType1 Hits#	Win Tier 2 FsType1 Hits#	Win Tier 3 FsType1 Hits#	Win Tier 4 FsType1 Hits#	Win Tier 5 FsType1 Hits#	Win Tier 6 FsType1 Hits#	Win Tier 7 FsType1 Hits#	Win Tier 8 FsType1 Hits#	Win Tier 9 FsType1 Hits#	Win Tier 10 FsType1 Hits#	Win Tier 11 FsType1 Hits#	Win Tier 12 FsType1 Hits#	Win Tier 13 FsType1 Hits#	Win Tier 14 FsType1 Hits#	Win Tier 15 FsType1 Hits#	Win Tier 16 FsType1 Hits#	Win Tier 17 FsType1 Hits#	Win Tier 18 FsType1 Hits#	Win Tier 19 FsType1 Hits#	Win Tier 20 FsType1 Hits#	Win Tier 21 FsType1 Hits#	Win Tier 22 FsType1 Hits#	Win Tier 23 FsType1 Hits#	Win Tier 24 FsType1 Hits#	Win Tier 25 FsType1 Hits#	Win Tier 0 FsType1 FsTotalPay	Win Tier 1 FsType1 FsTotalPay	Win Tier 2 FsType1 FsTotalPay	Win Tier 3 FsType1 FsTotalPay	Win Tier 4 FsType1 FsTotalPay	Win Tier 5 FsType1 FsTotalPay	Win Tier 6 FsType1 FsTotalPay	Win Tier 7 FsType1 FsTotalPay	Win Tier 8 FsType1 FsTotalPay	Win Tier 9 FsType1 FsTotalPay	Win Tier 10 FsType1 FsTotalPay	Win Tier 11 FsType1 FsTotalPay	Win Tier 12 FsType1 FsTotalPay	Win Tier 13 FsType1 FsTotalPay	Win Tier 14 FsType1 FsTotalPay	Win Tier 15 FsType1 FsTotalPay	Win Tier 16 FsType1 FsTotalPay	Win Tier 17 FsType1 FsTotalPay	Win Tier 18 FsType1 FsTotalPay	Win Tier 19 FsType1 FsTotalPay	Win Tier 20 FsType1 FsTotalPay	Win Tier 21 FsType1 FsTotalPay	Win Tier 22 FsType1 FsTotalPay	Win Tier 23 FsType1 FsTotalPay	Win Tier 24 FsType1 FsTotalPay	Win Tier 25 FsType1 FsTotalPay	Win Tier 0 FsType1 FsMax	Win Tier 1 FsType1 FsMax	Win Tier 2 FsType1 FsMax	Win Tier 3 FsType1 FsMax	Win Tier 4 FsType1 FsMax	Win Tier 5 FsType1 FsMax	Win Tier 6 FsType1 FsMax	Win Tier 7 FsType1 FsMax	Win Tier 8 FsType1 FsMax	Win Tier 9 FsType1 FsMax	Win Tier 10 FsType1 FsMax	Win Tier 11 FsType1 FsMax	Win Tier 12 FsType1 FsMax	Win Tier 13 FsType1 FsMax	Win Tier 14 FsType1 FsMax	Win Tier 15 FsType1 FsMax	Win Tier 16 FsType1 FsMax	Win Tier 17 FsType1 FsMax	Win Tier 18 FsType1 FsMax	Win Tier 19 FsType1 FsMax	Win Tier 20 FsType1 FsMax	Win Tier 21 FsType1 FsMax	Win Tier 22 FsType1 FsMax	Win Tier 23 FsType1 FsMax	Win Tier 24 FsType1 FsMax	Win Tier 25 FsType1 FsMax	
80000	0	0	0	0	0	0	3	39	91	68	88	59	41	54	27	14	45	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	312	738	564	774	512	388	502	251	132	500	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	267	672	515	701	488	362	461	243	124	467	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18020	630960	2358340	2356500	3954920	3286840	2670460	4029000	2261080	1319660	5577880	485480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7320	19820	30000	39600	49900	59780	69720	79840	89500	98600	198920	245800	0	0	0	0	0	0	0	0	
81000	0	0	0	0	0	0	3	40	94	70	89	60	42	57	27	14	45	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	320	762	580	782	530	396	531	251	132	500	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	275	695	528	709	503	369	486	243	124	467	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18020	643360	2439040	2425920	4000840	3341160	2740240	4250200	2261080	1319660	5577880	485480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7320	19820	30000	39600	49900	59780	69780	79840	89500	98600	198920	245800	0	0	0	0	0	0	0	0	
82000	0	0	0	0	0	0	3	40	97	71	92	61	43	58	27	14	45	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	320	786	588	806	538	404	544	251	132	500	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	275	716	535	731	511	376	498	243	124	467	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18020	643360	2513300	2457800	4136220	3392620	2802920	4326580	2261080	1319660	5577880	485480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7320	19820	30000	39600	49900	59780	69780	79840	89500	98600	198920	245800	0	0	0	0	0	0	0	0	
83000	0	0	0	0	0	0	3	40	97	73	93	64	43	58	29	15	46	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	320	786	609	814	567	404	544	267	140	513	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	275	716	555	738	535	376	498	259	131	480	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18020	643360	2513300	2532060	4184540	3557660	2802920	4326580	2437500	1412800	5705680	485480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7320	19820	30000	39600	49900	59780	69780	79840	89580	98600	198920	245800	0	0	0	0	0	0	0	0	
84000	0	0	0	0	0	0	3	41	99	74	96	65	45	58	29	16	46	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	328	802	617	838	575	420	544	267	148	513	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	283	730	562	758	543	391	498	259	139	480	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18020	657820	2556220	2562100	4317060	3612920	2932300	4326580	2437500	1509420	5705680	485480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7320	19820	30000	39600	49900	59780	69780	79840	89580	98600	198920	245800	0	0	0	0	0	0	0	0	
85000	0	0	0	0	0	0	3	41	100	75	99	67	45	59	29	16	47	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	328	810	625	862	591	420	552	267	148	521	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	283	737	569	781	558	391	506	259	139	488	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18020	657820	2582940	2598700	4439260	3721440	2932300	4401400	2437500	1509420	5820660	485480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7320	19820	30000	39600	49900	59780	69780	79840	89580	98600	198920	245800	0	0	0	0	0	0	0	0	
86000	0	0	0	0	0	0	3	42	103	75	100	68	46	60	29	16	47	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	336	834	625	870	599	428	560	267	148	521	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	291	760	569	788	565	398	513	259	139	488	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18020	675340	2660120	2598700	4488560	3781020	2993000	4472500	2437500	1509420	5820660	485480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7320	19820	30000	39600	49900	59780	69780	79840	89580	98600	198920	245800	0	0	0	0	0	0	0	0	
87000	0	0	0	0	0	0	3	42	103	77	100	69	47	64	29	16	47	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	336	834	641	870	607	436	602	267	148	521	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	291	760	583	788	573	406	553	259	139	488	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18020	675340	2660120	2668260	4488560	3831100	3055520	4778460	2437500	1509420	5820660	485480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7320	19820	30000	39600	49900	59780	69780	79840	89580	98600	198920	245800	0	0	0	0	0	0	0	0	
88000	0	0	0	0	0	0	3	43	104	78	103	71	48	65	29	17	47	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	344	842	649	894	623	444	610	267	161	521	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	298	767	589	807	588	414	561	259	152	488	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18020	693400	2684320	2700180	4618900	3940220	3122600	4849460	2437500	1604980	5820660	485480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7320	19820	30000	39600	49900	59780	69780	79840	89580	98600	198920	245800	0	0	0	0	0	0	0	0	
89000	0	0	0	0	0	0	3	43	105	79	103	71	49	66	29	17	47	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	344	850	657	894	623	452	618	267	161	521	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	298	775	595	807	588	421	568	259	152	488	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18020	693400	2706960	2732820	4618900	3940220	3189640	4920380	2437500	1604980	5820660	485480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7320	19820	30000	39600	49900	59780	69780	79840	89580	98600	198920	245800	0	0	0	0	0	0	0	0	
90000	0	0	0	0	0	0	3	43	105	80	103	73	49	66	30	17	47	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	344	850	665	894	639	452	618	275	161	521	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	298	775	603	807	603	421	568	267	152	488	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18020	693400	2706960	2770840	4618900	4053120	3189640	4920380	2522480	1604980	5820660	485480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7320	19820	30000	39600	49900	59780	69780	79840	89580	98600	198920	245800	0	0	0	0	0	0	0	0	
91000	0	0	0	0	0	0	3	44	107	81	104	75	49	67	30	17	48	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	352	866	673	907	655	452	626	275	161	529	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	304	791	610	817	619	421	576	267	152	495	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18020	709620	2754140	2810160	4666980	4164100	3189640	4992220	2522480	1604980	5973560	485480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7320	19820	30000	39600	49900	59780	69780	79840	89580	98600	198920	245800	0	0	0	0	0	0	0	0	
92000	0	0	0	0	0	0	3	44	110	85	106	76	50	69	30	17	50	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	352	890	705	923	668	465	647	275	161	550	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	304	813	641	832	631	432	596	267	152	516	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18020	709620	2829220	2950020	4760060	4218820	3253560	5142920	2522480	1604980	6216180	485480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7320	19820	30000	39600	49900	59780	69780	79840	89580	98600	198920	245800	0	0	0	0	0	0	0	0	
93000	0	0	0	0	0	0	3	45	110	85	106	76	52	69	30	17	51	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	360	890	705	923	668	486	647	275	161	558	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	311	813	641	832	631	452	596	267	152	524	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18020	728020	2829220	2950020	4760060	4218820	3378000	5142920	2522480	1604980	6363280	485480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7320	19820	30000	39600	49900	59780	69780	79840	89580	98600	198920	245800	0	0	0	0	0	0	0	0	
94000	0	0	0	0	0	0	3	48	112	86	106	76	52	69	31	17	51	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	384	906	718	923	668	486	647	283	161	558	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	330	826	654	832	631	452	596	274	152	524	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18020	775840	2876880	2988700	4760060	4218820	3378000	5142920	2604400	1604980	6363280	485480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7320	19820	30000	39600	49900	59780	69780	79840	89580	98600	198920	245800	0	0	0	0	0	0	0	0	
95000	0	0	0	0	0	0	3	48	112	87	107	76	53	70	31	17	52	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	384	906	731	936	668	494	655	283	161	576	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	330	826	667	843	631	460	604	274	152	540	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18020	775840	2876880	3024320	4808220	4218820	3445580	5221080	2604400	1604980	6512100	485480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7320	19820	30000	39600	49900	59780	69780	79840	89580	98600	198920	245800	0	0	0	0	0	0	0	0	
96000	0	0	0	0	0	0	3	50	113	88	109	76	54	71	31	19	53	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	400	914	739	952	668	502	668	283	177	584	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	344	834	675	858	631	468	615	274	168	548	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18020	804780	2900400	3061800	4896240	4218820	3513080	5298940	2604400	1795320	6619020	485480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7320	19820	30000	39600	49900	59780	69780	79840	89580	98600	198920	245800	0	0	0	0	0	0	0	0	
97000	0	0	0	0	0	0	3	50	116	89	110	76	56	72	31	19	55	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	400	938	752	960	668	528	681	283	177	615	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	344	856	688	866	631	492	627	274	168	579	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18020	804780	2975000	3098680	4937700	4218820	3643800	5375860	2604400	1795320	6903400	485480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7320	19820	30000	39600	49900	59780	69780	79840	89580	98600	198920	245800	0	0	0	0	0	0	0	0	
98000	0	0	0	0	0	0	3	51	117	90	112	77	57	72	31	19	57	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	408	946	760	981	676	536	681	283	177	636	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	350	862	696	884	637	500	627	274	168	599	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18020	823380	3004900	3136000	5032220	4276220	3709500	5375860	2604400	1795320	7138780	485480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7320	19820	30000	39600	49900	59780	69780	79840	89580	98600	198920	245800	0	0	0	0	0	0	0	0	
