Num of Spin	Line	BetPerLine	TotalCoinIn	FreeSpin TotalTimes	fsTimes	Symbol1	FreeSpin 2 Symbol1 Hit 	FreeSpin 3 Symbol1 Hit 	FreeSpin 4 Symbol1 Hit 	FreeSpin 5 Symbol1 Hit 	FreeSpin Symbol1 Total Hit 	FreeSpin 2 Symbol1 win 	FreeSpin 3 Symbol1 win 	FreeSpin 4 Symbol1 win 	FreeSpin 5 Symbol1 win 	FreeSpin Symbol1 Total Win Pay 	Symbol2	FreeSpin 2 Symbol2 Hit 	FreeSpin 3 Symbol2 Hit 	FreeSpin 4 Symbol2 Hit 	FreeSpin 5 Symbol2 Hit 	FreeSpin Symbol2 Total Hit 	FreeSpin 2 Symbol2 win 	FreeSpin 3 Symbol2 win 	FreeSpin 4 Symbol2 win 	FreeSpin 5 Symbol2 win 	FreeSpin Symbol2 Total Win Pay 	Symbol3	FreeSpin 2 Symbol3 Hit 	FreeSpin 3 Symbol3 Hit 	FreeSpin 4 Symbol3 Hit 	FreeSpin 5 Symbol3 Hit 	FreeSpin Symbol3 Total Hit 	FreeSpin 2 Symbol3 win 	FreeSpin 3 Symbol3 win 	FreeSpin 4 Symbol3 win 	FreeSpin 5 Symbol3 win 	FreeSpin Symbol3 Total Win Pay 	Symbol4	FreeSpin 2 Symbol4 Hit 	FreeSpin 3 Symbol4 Hit 	FreeSpin 4 Symbol4 Hit 	FreeSpin 5 Symbol4 Hit 	FreeSpin Symbol4 Total Hit 	FreeSpin 2 Symbol4 win 	FreeSpin 3 Symbol4 win 	FreeSpin 4 Symbol4 win 	FreeSpin 5 Symbol4 win 	FreeSpin Symbol4 Total Win Pay 	Symbol5	FreeSpin 2 Symbol5 Hit 	FreeSpin 3 Symbol5 Hit 	FreeSpin 4 Symbol5 Hit 	FreeSpin 5 Symbol5 Hit 	FreeSpin Symbol5 Total Hit 	FreeSpin 2 Symbol5 win 	FreeSpin 3 Symbol5 win 	FreeSpin 4 Symbol5 win 	FreeSpin 5 Symbol5 win 	FreeSpin Symbol5 Total Win Pay 	Symbol6	FreeSpin 2 Symbol6 Hit 	FreeSpin 3 Symbol6 Hit 	FreeSpin 4 Symbol6 Hit 	FreeSpin 5 Symbol6 Hit 	FreeSpin Symbol6 Total Hit 	FreeSpin 2 Symbol6 win 	FreeSpin 3 Symbol6 win 	FreeSpin 4 Symbol6 win 	FreeSpin 5 Symbol6 win 	FreeSpin Symbol6 Total Win Pay 	Symbol7	FreeSpin 2 Symbol7 Hit 	FreeSpin 3 Symbol7 Hit 	FreeSpin 4 Symbol7 Hit 	FreeSpin 5 Symbol7 Hit 	FreeSpin Symbol7 Total Hit 	FreeSpin 2 Symbol7 win 	FreeSpin 3 Symbol7 win 	FreeSpin 4 Symbol7 win 	FreeSpin 5 Symbol7 win 	FreeSpin Symbol7 Total Win Pay 	Symbol8	FreeSpin 2 Symbol8 Hit 	FreeSpin 3 Symbol8 Hit 	FreeSpin 4 Symbol8 Hit 	FreeSpin 5 Symbol8 Hit 	FreeSpin Symbol8 Total Hit 	FreeSpin 2 Symbol8 win 	FreeSpin 3 Symbol8 win 	FreeSpin 4 Symbol8 win 	FreeSpin 5 Symbol8 win 	FreeSpin Symbol8 Total Win Pay 	Symbol9	FreeSpin 2 Symbol9 Hit 	FreeSpin 3 Symbol9 Hit 	FreeSpin 4 Symbol9 Hit 	FreeSpin 5 Symbol9 Hit 	FreeSpin Symbol9 Total Hit 	FreeSpin 2 Symbol9 win 	FreeSpin 3 Symbol9 win 	FreeSpin 4 Symbol9 win 	FreeSpin 5 Symbol9 win 	FreeSpin Symbol9 Total Win Pay 	Symbol10	FreeSpin 2 Symbol10 Hit 	FreeSpin 3 Symbol10 Hit 	FreeSpin 4 Symbol10 Hit 	FreeSpin 5 Symbol10 Hit 	FreeSpin Symbol10 Total Hit 	FreeSpin 2 Symbol10 win 	FreeSpin 3 Symbol10 win 	FreeSpin 4 Symbol10 win 	FreeSpin 5 Symbol10 win 	FreeSpin Symbol10 Total Win Pay 	Symbol11	FreeSpin 2 Symbol11 Hit 	FreeSpin 3 Symbol11 Hit 	FreeSpin 4 Symbol11 Hit 	FreeSpin 5 Symbol11 Hit 	FreeSpin Symbol11 Total Hit 	FreeSpin 2 Symbol11 win 	FreeSpin 3 Symbol11 win 	FreeSpin 4 Symbol11 win 	FreeSpin 5 Symbol11 win 	FreeSpin Symbol11 Total Win Pay 	Symbol12	FreeSpin 2 Symbol12 Hit 	FreeSpin 3 Symbol12 Hit 	FreeSpin 4 Symbol12 Hit 	FreeSpin 5 Symbol12 Hit 	FreeSpin Symbol12 Total Hit 	FreeSpin 2 Symbol12 win 	FreeSpin 3 Symbol12 win 	FreeSpin 4 Symbol12 win 	FreeSpin 5 Symbol12 win 	FreeSpin Symbol12 Total Win Pay 	Symbol13	FreeSpin 2 Symbol13 Hit 	FreeSpin 3 Symbol13 Hit 	FreeSpin 4 Symbol13 Hit 	FreeSpin 5 Symbol13 Hit 	FreeSpin Symbol13 Total Hit 	FreeSpin 2 Symbol13 win 	FreeSpin 3 Symbol13 win 	FreeSpin 4 Symbol13 win 	FreeSpin 5 Symbol13 win 	FreeSpin Symbol13 Total Win Pay 	Symbol14	FreeSpin 2 Symbol14 Hit 	FreeSpin 3 Symbol14 Hit 	FreeSpin 4 Symbol14 Hit 	FreeSpin 5 Symbol14 Hit 	FreeSpin Symbol14 Total Hit 	FreeSpin 2 Symbol14 win 	FreeSpin 3 Symbol14 win 	FreeSpin 4 Symbol14 win 	FreeSpin 5 Symbol14 win 	FreeSpin Symbol14 Total Win Pay 	Symbol15	FreeSpin 2 Symbol15 Hit 	FreeSpin 3 Symbol15 Hit 	FreeSpin 4 Symbol15 Hit 	FreeSpin 5 Symbol15 Hit 	FreeSpin Symbol15 Total Hit 	FreeSpin 2 Symbol15 win 	FreeSpin 3 Symbol15 win 	FreeSpin 4 Symbol15 win 	FreeSpin 5 Symbol15 win 	FreeSpin Symbol15 Total Win Pay 	
1000	88	1	88000	48	48	symbol1	0	0	0	0	0	0	0	0	0	0	symbol2	0	18	2	0	20	0	5300	800	0	6100	symbol3	0	11	0	0	11	0	2500	0	0	2500	symbol4	0	13	3	0	16	0	1550	900	0	2450	symbol5	0	0	0	0	0	0	0	0	0	0	symbol6	0	13	0	0	13	0	1520	0	0	1520	symbol7	0	25	5	1	31	0	3240	1260	720	5220	symbol8	0	12	0	0	12	0	700	0	0	700	symbol9	0	18	2	2	22	0	670	240	240	1150	symbol10	0	13	3	2	18	0	450	200	240	890	symbol11	0	18	0	0	18	0	360	0	0	360	symbol12	0	0	0	0	0	0	0	0	0	0	symbol13	0	0	0	0	0	0	0	0	0	0	symbol14	0	0	0	0	0	0	0	0	0	0	symbol15	0	0	0	0	0	0	0	0	0	0	
2000	88	1	176000	64	64	symbol1	0	0	0	0	0	0	0	0	0	0	symbol2	0	18	2	0	20	0	5300	800	0	6100	symbol3	0	11	0	0	11	0	2500	0	0	2500	symbol4	0	23	5	0	28	0	2950	1300	0	4250	symbol5	0	1	1	0	2	0	150	300	0	450	symbol6	0	14	0	1	15	0	1640	0	480	2120	symbol7	0	27	5	1	33	0	3360	1260	720	5340	symbol8	0	15	2	0	17	0	820	160	0	980	symbol9	0	23	5	2	30	0	770	420	240	1430	symbol10	0	13	3	2	18	0	450	200	240	890	symbol11	0	19	0	0	19	0	378	0	0	378	symbol12	0	0	0	0	0	0	0	0	0	0	symbol13	0	0	0	0	0	0	0	0	0	0	symbol14	0	0	0	0	0	0	0	0	0	0	symbol15	0	0	0	0	0	0	0	0	0	0	
3000	88	1	264000	104	104	symbol1	0	0	0	0	0	0	0	0	0	0	symbol2	0	21	2	0	23	0	5900	800	0	6700	symbol3	0	13	0	1	14	0	2900	0	800	3700	symbol4	0	51	10	1	62	0	8150	3400	800	12350	symbol5	0	15	1	0	16	0	2350	300	0	2650	symbol6	0	40	2	2	44	0	5200	480	800	6480	symbol7	0	45	7	1	53	0	4800	1500	720	7020	symbol8	0	22	11	0	33	0	1400	1440	0	2840	symbol9	0	34	7	2	43	0	1170	540	240	1950	symbol10	0	23	6	2	31	0	850	560	240	1650	symbol11	0	44	0	0	44	0	876	0	0	876	symbol12	0	0	0	0	0	0	0	0	0	0	symbol13	0	0	0	0	0	0	0	0	0	0	symbol14	0	0	0	0	0	0	0	0	0	0	symbol15	0	0	0	0	0	0	0	0	0	0	
4000	88	1	352000	120	120	symbol1	0	0	0	0	0	0	0	0	0	0	symbol2	0	21	2	0	23	0	5900	800	0	6700	symbol3	0	16	0	1	17	0	4700	0	800	5500	symbol4	0	51	10	1	62	0	8150	3400	800	12350	symbol5	0	17	1	0	18	0	2850	300	0	3150	symbol6	0	40	2	2	44	0	5200	480	800	6480	symbol7	0	53	10	2	65	0	6060	2940	1680	10680	symbol8	0	26	12	0	38	0	1960	1760	0	3720	symbol9	0	34	7	2	43	0	1170	540	240	1950	symbol10	0	31	6	2	39	0	1410	560	240	2210	symbol11	0	44	0	0	44	0	876	0	0	876	symbol12	0	1	0	0	1	0	0	0	0	0	symbol13	0	0	0	0	0	0	0	0	0	0	symbol14	0	0	0	0	0	0	0	0	0	0	symbol15	0	0	0	0	0	0	0	0	0	0	
5000	88	1	440000	144	144	symbol1	0	0	0	0	0	0	0	0	0	0	symbol2	0	21	2	0	23	0	5900	800	0	6700	symbol3	0	21	0	1	22	0	5700	0	800	6500	symbol4	0	53	10	1	64	0	8650	3400	800	12850	symbol5	0	26	1	0	27	0	4600	300	0	4900	symbol6	0	48	3	2	53	0	6320	720	800	7840	symbol7	0	65	14	3	82	0	7200	3660	2160	13020	symbol8	0	48	15	0	63	0	3760	2120	0	5880	symbol9	0	36	10	2	48	0	1210	720	240	2170	symbol10	0	43	7	2	52	0	1940	640	240	2820	symbol11	0	46	0	0	46	0	912	0	0	912	symbol12	0	1	0	0	1	0	0	0	0	0	symbol13	0	0	0	0	0	0	0	0	0	0	symbol14	0	0	0	0	0	0	0	0	0	0	symbol15	0	0	0	0	0	0	0	0	0	0	
6000	88	1	528000	184	184	symbol1	0	0	0	0	0	0	0	0	0	0	symbol2	0	30	4	0	34	0	9600	2800	0	12400	symbol3	0	28	0	1	29	0	9300	0	800	10100	symbol4	0	65	10	1	76	0	11000	3400	800	15200	symbol5	0	40	6	0	46	0	6950	1300	0	8250	symbol6	0	48	3	2	53	0	6320	720	800	7840	symbol7	0	66	16	3	85	0	7260	3900	2160	13320	symbol8	0	56	15	0	71	0	4420	2120	0	6540	symbol9	0	43	12	2	57	0	1430	900	240	2570	symbol10	0	53	8	3	64	0	2300	700	360	3360	symbol11	0	59	7	1	67	0	1242	160	60	1462	symbol12	0	1	0	0	1	0	0	0	0	0	symbol13	0	0	0	0	0	0	0	0	0	0	symbol14	0	0	0	0	0	0	0	0	0	0	symbol15	0	0	0	0	0	0	0	0	0	0	
7000	88	1	616000	208	208	symbol1	0	0	0	0	0	0	0	0	0	0	symbol2	0	36	8	0	44	0	11900	6800	0	18700	symbol3	0	29	1	1	31	0	9600	600	800	11000	symbol4	0	73	10	1	84	0	12100	3400	800	16300	symbol5	0	43	6	0	49	0	7550	1300	0	8850	symbol6	0	62	5	5	72	0	7880	1040	1760	10680	symbol7	0	77	17	3	97	0	8130	4080	2160	14370	symbol8	0	73	16	0	89	0	6080	2280	0	8360	symbol9	0	51	14	2	67	0	1730	1200	240	3170	symbol10	0	60	8	3	71	0	2750	700	360	3810	symbol11	0	78	9	2	89	0	1554	220	120	1894	symbol12	0	1	0	0	1	0	0	0	0	0	symbol13	0	0	0	0	0	0	0	0	0	0	symbol14	0	0	0	0	0	0	0	0	0	0	symbol15	0	0	0	0	0	0	0	0	0	0	
8000	88	1	704000	240	240	symbol1	0	0	0	0	0	0	0	0	0	0	symbol2	0	42	8	0	50	0	14600	6800	0	21400	symbol3	0	33	1	1	35	0	10800	600	800	12200	symbol4	0	75	10	1	86	0	12500	3400	800	16700	symbol5	0	50	6	0	56	0	8500	1300	0	9800	symbol6	0	75	5	5	85	0	10920	1040	1760	13720	symbol7	0	84	19	3	106	0	8850	4560	2160	15570	symbol8	0	80	18	0	98	0	6500	2440	0	8940	symbol9	0	51	14	2	67	0	1730	1200	240	3170	symbol10	0	67	8	3	78	0	3090	700	360	4150	symbol11	0	88	9	2	99	0	1824	220	120	2164	symbol12	0	1	0	0	1	0	0	0	0	0	symbol13	0	0	0	0	0	0	0	0	0	0	symbol14	0	0	0	0	0	0	0	0	0	0	symbol15	0	0	0	0	0	0	0	0	0	0	
9000	88	1	792000	264	264	symbol1	0	8	0	0	8	0	9600	0	0	9600	symbol2	0	44	10	1	55	0	15800	9200	2400	27400	symbol3	0	48	5	1	54	0	19400	2200	800	22400	symbol4	0	85	10	1	96	0	14800	3400	800	19000	symbol5	0	50	9	0	59	0	8500	3100	0	11600	symbol6	0	75	5	5	85	0	10920	1040	1760	13720	symbol7	0	99	19	3	121	0	11430	4560	2160	18150	symbol8	0	92	18	0	110	0	7360	2440	0	9800	symbol9	0	67	14	3	84	0	2490	1200	480	4170	symbol10	0	76	9	3	88	0	3530	760	360	4650	symbol11	0	94	9	2	105	0	2022	220	120	2362	symbol12	0	1	0	0	1	0	0	0	0	0	symbol13	0	0	0	0	0	0	0	0	0	0	symbol14	0	0	0	0	0	0	0	0	0	0	symbol15	0	0	0	0	0	0	0	0	0	0	
10000	88	1	880000	328	328	symbol1	0	11	0	0	11	0	11400	0	0	11400	symbol2	0	55	11	1	67	0	22200	10800	2400	35400	symbol3	0	51	5	1	57	0	20600	2200	800	23600	symbol4	0	97	12	2	111	0	18000	4400	1800	24200	symbol5	0	57	9	1	67	0	10850	3100	600	14550	symbol6	0	93	5	5	103	0	14440	1040	1760	17240	symbol7	0	116	24	3	143	0	13740	6060	2160	21960	symbol8	0	103	24	0	127	0	8600	3520	0	12120	symbol9	0	101	21	6	128	0	4120	1770	1020	6910	symbol10	0	89	14	4	107	0	4240	1200	560	6000	symbol11	0	105	10	3	118	0	2436	300	280	3016	symbol12	0	3	0	0	3	0	0	0	0	0	symbol13	0	0	0	0	0	0	0	0	0	0	symbol14	0	0	0	0	0	0	0	0	0	0	symbol15	0	0	0	0	0	0	0	0	0	0	
